,1,2,3,4,5,6,7,8,9,10,11,12
Roll with 2 dices,1,1,0.9722222222222222,0.9166666666666666,0.8333333333333334,0.7222222222222222,0.5833333333333334,0.4166666666666667,0.2777777777777778,0.16666666666666666,0.08333333333333333,0.027777777777777776
Roll with 2 dices and full reroll,1,1,0.9992283950617284,0.9930555555555556,0.9722222222222222,0.9228395061728395,0.826388888888889,0.6597222222222222,0.4783950617283951,0.3055555555555556,0.1597222222222222,0.054783950617283944
Roll with 2 dices +1 and full reroll,1,1,1,0.9992283950617284,0.9930555555555556,0.9722222222222222,0.9228395061728395,0.826388888888889,0.6597222222222222,0.4783950617283951,0.3055555555555556,0.1597222222222222
Roll with 3 dices and discard lowest,1,1,0.9953703703703703,0.9814814814814815,0.9490740740740741,0.8935185185185185,0.8055555555555556,0.6805555555555556,0.5231481481481481,0.35648148148148145,0.19907407407407407,0.07407407407407407
Roll with 3 dices +1 and discard lowest,1,1,1,0.9953703703703703,0.9814814814814815,0.9490740740740741,0.8935185185185185,0.8055555555555556,0.6805555555555556,0.5231481481481481,0.35648148148148145,0.19907407407407407
Roll with 3 dices +1 full reroll and discard lowest,1,1,1,0.9999785665294925,0.9996570644718793,0.9974065500685871,0.988661694101509,0.9621913580246914,0.8979552469135803,0.7726123113854595,0.5858839163237312,0.3585176611796982
Roll with 3 dices,1,1,1,0.9953703703703703,0.9814814814814815,0.9537037037037037,0.9074074074074074,0.8379629629629629,0.7407407407407407,0.625,0.5,0.375
Roll with 3 dices +1,1,1,1,1,0.9953703703703703,0.9814814814814815,0.9537037037037037,0.9074074074074074,0.8379629629629629,0.7407407407407407,0.625,0.5
Roll with 3 dices +1 and reroll lowest,1,1,1,1,0.9999785665294925,0.9997213648834019,0.9984353566529492,0.9940200617283951,0.9821244855967078,0.9549897119341564,0.9050497256515775,0.8261531207133059
